"date","rt"
"2020-03-08","2.52795116212387"
"2020-03-09","2.52182405972417"
"2020-03-10","2.46380490205975"
"2020-03-11","2.4999612418762"
"2020-03-12","2.58439488825661"
"2020-03-13","2.61882528010959"
"2020-03-14","2.62389363019552"
"2020-03-15","2.63070921641714"
"2020-03-16","2.75862607775988"
"2020-03-17","2.79337071259399"
"2020-03-18","2.76142694436888"
"2020-03-19","2.77175184764193"
"2020-03-20","2.72223934898509"
"2020-03-21","2.65549628667625"
"2020-03-22","2.58898335680091"
"2020-03-23","2.53468547566789"
"2020-03-24","2.51186122103892"
"2020-03-25","2.47868223174389"
"2020-03-26","2.46216054747165"
"2020-03-27","2.52517672527134"
"2020-03-28","2.53240195945827"
"2020-03-29","2.56812860967663"
"2020-03-30","2.59412633640946"
"2020-03-31","2.71098064379096"
"2020-04-01","2.932785163415"
"2020-04-02","3.00847314585996"
"2020-04-03","3.20314846415976"
"2020-04-04","3.43086973004497"
"2020-04-05","3.61900548177943"
"2020-04-06","3.84311869368053"
"2020-04-07","3.95007307618027"
"2020-04-08","4.0900584433934"
"2020-04-09","4.19615836461939"
"2020-04-10","4.19411481683503"
"2020-04-11","4.15207877177126"
"2020-04-12","4.02616364940785"
"2020-04-13","3.96772388040545"
"2020-04-14","3.93249398791009"
"2020-04-15","3.68312260478572"
"2020-04-16","3.49910221973721"
"2020-04-17","3.33322581702911"
"2020-04-18","3.25301099071382"
"2020-04-19","3.12753418220643"
"2020-04-20","2.97002854884665"
"2020-04-21","2.82141157528466"
"2020-04-22","2.67877652719946"
"2020-04-23","2.52621141907614"
"2020-04-24","2.36998841736465"
"2020-04-25","2.2332078847035"
"2020-04-26","2.2082052578512"
"2020-04-27","2.11787803909001"
"2020-04-28","2.0716063348025"
"2020-04-29","2.00974382984787"
"2020-04-30","1.94494973283202"
"2020-05-01","1.89614919168962"
"2020-05-02","1.85702422466587"
"2020-05-03","1.82640047599972"
"2020-05-04","1.81379282065851"
"2020-05-05","1.74872008504287"
"2020-05-06","1.76194169328985"
"2020-05-07","1.73771989590081"
"2020-05-08","1.70836188184159"
"2020-05-09","1.64786269375202"
"2020-05-10","1.67991833682438"
"2020-05-11","1.64456675150683"
"2020-05-12","1.70968535949294"
"2020-05-13","1.69389479100253"
"2020-05-14","1.69470464701012"
"2020-05-15","1.67869236903434"
"2020-05-16","1.66557653742327"
"2020-05-17","1.67086077640479"
"2020-05-18","1.72321755028213"
"2020-05-19","1.7264602075539"
"2020-05-20","1.66634790462696"
"2020-05-21","1.6335144104692"
"2020-05-22","1.65159627958782"
"2020-05-23","1.62697474710587"
"2020-05-24","1.67741492142651"
"2020-05-25","1.50967342928386"
"2020-05-26","1.50967342928386"
"2020-05-27","1.50967342928386"
"2020-05-28","1.50967342928386"
"2020-05-29","1.50967342928386"
"2020-05-30","1.50967342928386"
"2020-05-31","1.50967342928386"
"2020-06-01","1.50967342928386"
"2020-06-02","1.50967342928386"
"2020-06-03","1.50967342928386"
"2020-06-04","1.50967342928386"
"2020-06-05","1.50967342928386"
"2020-06-06","1.50967342928386"
"2020-06-07","1.50967342928386"
"2020-06-08","1.50967342928386"
"2020-06-09","1.50967342928386"
"2020-06-10","1.50967342928386"
"2020-06-11","1.50967342928386"
"2020-06-12","1.50967342928386"
"2020-06-13","1.50967342928386"
"2020-06-14","1.50967342928386"
"2020-06-15","1.50967342928386"
"2020-06-16","1.50967342928386"
"2020-06-17","1.50967342928386"
"2020-06-18","1.50967342928386"
"2020-06-19","1.50967342928386"
"2020-06-20","1.50967342928386"
"2020-06-21","1.50967342928386"
"2020-06-22","1.50967342928386"
"2020-06-23","1.50967342928386"
"2020-06-24","1.50967342928386"
"2020-06-25","1.50967342928386"
"2020-06-26","1.50967342928386"
"2020-06-27","1.50967342928386"
"2020-06-28","1.50967342928386"
"2020-06-29","1.50967342928386"
"2020-06-30","1.50967342928386"
"2020-07-01","1.50967342928386"
"2020-07-02","1.50967342928386"
"2020-07-03","1.50967342928386"
"2020-07-04","1.50967342928386"
"2020-07-05","1.50967342928386"
"2020-07-06","1.50967342928386"
"2020-07-07","1.50967342928386"
"2020-07-08","1.50967342928386"
"2020-07-09","1.50967342928386"
"2020-07-10","1.50967342928386"
"2020-07-11","1.50967342928386"
"2020-07-12","1.50967342928386"
"2020-07-13","1.50967342928386"
"2020-07-14","1.50967342928386"
"2020-07-15","1.50967342928386"
"2020-07-16","1.50967342928386"
"2020-07-17","1.50967342928386"
"2020-07-18","1.50967342928386"
"2020-07-19","1.50967342928386"
"2020-07-20","1.50967342928386"
"2020-07-21","1.50967342928386"
"2020-07-22","1.50967342928386"
"2020-07-23","1.50967342928386"
"2020-07-24","1.50967342928386"
"2020-07-25","1.50967342928386"
"2020-07-26","1.50967342928386"
"2020-07-27","1.50967342928386"
"2020-07-28","1.50967342928386"
"2020-07-29","1.50967342928386"
"2020-07-30","1.50967342928386"
"2020-07-31","1.50967342928386"
"2020-08-01","1.50967342928386"
"2020-08-02","1.50967342928386"
"2020-08-03","1.50967342928386"
"2020-08-04","1.50967342928386"
"2020-08-05","1.50967342928386"
"2020-08-06","1.50967342928386"
"2020-08-07","1.50967342928386"
"2020-08-08","1.50967342928386"
"2020-08-09","1.50967342928386"
"2020-08-10","1.50967342928386"
"2020-08-11","1.50967342928386"
"2020-08-12","1.50967342928386"
"2020-08-13","1.50967342928386"
"2020-08-14","1.50967342928386"
"2020-08-15","1.50967342928386"
"2020-08-16","1.50967342928386"
"2020-08-17","1.50967342928386"
"2020-08-18","1.50967342928386"
