"date","rt"
"2020-03-08","2.15374564975586"
"2020-03-09","1.86565466284973"
"2020-03-10","1.72551530243096"
"2020-03-11","1.66971050950107"
"2020-03-12","1.67158919885042"
"2020-03-13","1.92483286437652"
"2020-03-14","2.30430179822376"
"2020-03-15","2.94031885991286"
"2020-03-16","3.28337413458563"
"2020-03-17","3.09466772662385"
"2020-03-18","2.95858020444409"
"2020-03-19","3.07074854638178"
"2020-03-20","2.83031877365184"
"2020-03-21","2.41402250403772"
"2020-03-22","1.99181295861206"
"2020-03-23","2.00520718486195"
"2020-03-24","1.73892879215266"
"2020-03-25","1.61086084134235"
"2020-03-26","1.44107834292975"
"2020-03-27","1.19983039118146"
"2020-03-28","1.10964720055983"
"2020-03-29","1.02637183213969"
"2020-03-30","1.13924184171639"
"2020-03-31","1.28007166374433"
"2020-04-01","1.48227589325819"
"2020-04-02","1.79116580680911"
"2020-04-03","2.31789021100832"
"2020-04-04","2.95183195029045"
"2020-04-05","3.80648759689826"
"2020-04-06","4.79938250393373"
"2020-04-07","4.95424090857718"
"2020-04-08","4.79318509785534"
"2020-04-09","4.79068536005991"
"2020-04-10","4.47599402882099"
"2020-04-11","3.96571709404723"
"2020-04-12","3.84334545437875"
"2020-04-13","3.78660340401387"
"2020-04-14","3.26609422108484"
"2020-04-15","3.0353373038266"
"2020-04-16","3.16865735075696"
"2020-04-17","2.85021959223765"
"2020-04-18","2.50283121121538"
"2020-04-19","2.24488359181834"
"2020-04-20","2.50841454206634"
"2020-04-21","2.08628528177437"
"2020-04-22","1.94428960294944"
"2020-04-23","1.95811006692024"
"2020-04-24","1.85257173347933"
"2020-04-25","1.8241512975371"
"2020-04-26","1.80748565590938"
"2020-04-27","1.69928263148348"
"2020-04-28","1.72872185477226"
"2020-04-29","1.73306945838889"
"2020-04-30","1.77595939786601"
"2020-05-01","1.56041595574166"
"2020-05-02","1.57161690461018"
"2020-05-03","1.489394054254"
"2020-05-04","1.61569608244"
"2020-05-05","1.54654504934239"
"2020-05-06","1.43290680256279"
"2020-05-07","1.40232132388489"
"2020-05-08","1.48169961753062"
"2020-05-09","1.31919391341903"
"2020-05-10","1.43057184441048"
"2020-05-11","1.48671475817561"
"2020-05-12","1.40192817161873"
"2020-05-13","1.57885624702059"
"2020-05-14","1.37498983972512"
"2020-05-15","1.38243179566163"
"2020-05-16","1.40050421837377"
"2020-05-17","1.39884419511324"
"2020-05-18","1.55135837814992"
"2020-05-19","1.55135837814992"
"2020-05-20","1.55135837814992"
"2020-05-21","1.55135837814992"
"2020-05-22","1.55135837814992"
"2020-05-23","1.55135837814992"
"2020-05-24","1.55135837814992"
"2020-05-25","1.55135837814992"
"2020-05-26","1.55135837814992"
"2020-05-27","1.55135837814992"
"2020-05-28","1.55135837814992"
"2020-05-29","1.55135837814992"
"2020-05-30","1.55135837814992"
"2020-05-31","1.55135837814992"
"2020-06-01","1.55135837814992"
"2020-06-02","1.55135837814992"
"2020-06-03","1.55135837814992"
"2020-06-04","1.55135837814992"
"2020-06-05","1.55135837814992"
"2020-06-06","1.55135837814992"
"2020-06-07","1.55135837814992"
"2020-06-08","1.55135837814992"
"2020-06-09","1.55135837814992"
"2020-06-10","1.55135837814992"
"2020-06-11","1.55135837814992"
"2020-06-12","1.55135837814992"
"2020-06-13","1.55135837814992"
"2020-06-14","1.55135837814992"
"2020-06-15","1.55135837814992"
"2020-06-16","1.55135837814992"
"2020-06-17","1.55135837814992"
"2020-06-18","1.55135837814992"
"2020-06-19","1.55135837814992"
"2020-06-20","1.55135837814992"
"2020-06-21","1.55135837814992"
"2020-06-22","1.55135837814992"
