"date","rt"
"2020-03-08","2.44305147670734"
"2020-03-09","2.50424030625784"
"2020-03-10","2.47735387755158"
"2020-03-11","2.54253388935433"
"2020-03-12","2.5909830534015"
"2020-03-13","2.63201050618168"
"2020-03-14","2.70308645186717"
"2020-03-15","2.81434164500339"
"2020-03-16","2.78189776645474"
"2020-03-17","2.72665333612621"
"2020-03-18","2.77687115178128"
"2020-03-19","2.73385985438464"
"2020-03-20","2.74311039654251"
"2020-03-21","2.66121780112689"
"2020-03-22","2.61013106816136"
"2020-03-23","2.63483777980336"
"2020-03-24","2.49423448842702"
"2020-03-25","2.48719098178471"
"2020-03-26","2.47815409857952"
"2020-03-27","2.4734983839533"
"2020-03-28","2.48319462191817"
"2020-03-29","2.54209817438685"
"2020-03-30","2.6079834899683"
"2020-03-31","2.73128065935495"
"2020-04-01","2.85494896516593"
"2020-04-02","3.10133342583727"
"2020-04-03","3.24697598520795"
"2020-04-04","3.44097341958634"
"2020-04-05","3.60268172022912"
"2020-04-06","3.86003276926209"
"2020-04-07","3.99672690971548"
"2020-04-08","3.99687376824869"
"2020-04-09","4.21249553291461"
"2020-04-10","4.18373596643272"
"2020-04-11","4.05178167537191"
"2020-04-12","4.06353908415899"
"2020-04-13","3.9093816873307"
"2020-04-14","3.85911690345622"
"2020-04-15","3.71662723479556"
"2020-04-16","3.5375872155072"
"2020-04-17","3.45302856840227"
"2020-04-18","3.3446204266328"
"2020-04-19","3.14822357496763"
"2020-04-20","2.95644019355027"
"2020-04-21","2.82110475598174"
"2020-04-22","2.69326379522558"
"2020-04-23","2.65051399058445"
"2020-04-24","2.41832658860297"
"2020-04-25","2.30731924503488"
"2020-04-26","2.15703514760609"
"2020-04-27","2.14404759195878"
"2020-04-28","2.03874044944947"
"2020-04-29","2.02074468411109"
"2020-04-30","1.93006008925797"
"2020-05-01","1.91504628818292"
"2020-05-02","1.8396712080402"
"2020-05-03","1.78197556060539"
"2020-05-04","1.76859902822415"
"2020-05-05","1.71890188277713"
"2020-05-06","1.74584181026381"
"2020-05-07","1.70563010635364"
"2020-05-08","1.65384313315639"
"2020-05-09","1.67314040260079"
"2020-05-10","1.65235144602706"
"2020-05-11","1.68446629733451"
"2020-05-12","1.69429123847485"
"2020-05-13","1.695376825031"
"2020-05-14","1.70484189715979"
"2020-05-15","1.70537312756453"
"2020-05-16","1.70372418340945"
"2020-05-17","1.69945717956912"
"2020-05-18","1.7105114876666"
"2020-05-19","1.67012160596697"
"2020-05-20","1.68472243481979"
"2020-05-21","1.69870127346283"
"2020-05-22","1.73095845063359"
"2020-05-23","1.64047856775364"
"2020-05-24","1.6993791690852"
"2020-05-25","1.6993791690852"
"2020-05-26","1.6993791690852"
"2020-05-27","1.6993791690852"
"2020-05-28","1.6993791690852"
"2020-05-29","1.6993791690852"
"2020-05-30","1.6993791690852"
"2020-05-31","1.6993791690852"
"2020-06-01","1.6993791690852"
"2020-06-02","1.6993791690852"
"2020-06-03","1.6993791690852"
"2020-06-04","1.6993791690852"
"2020-06-05","1.6993791690852"
"2020-06-06","1.6993791690852"
"2020-06-07","1.6993791690852"
"2020-06-08","1.6993791690852"
"2020-06-09","1.6993791690852"
"2020-06-10","1.6993791690852"
"2020-06-11","1.6993791690852"
"2020-06-12","1.6993791690852"
"2020-06-13","1.6993791690852"
"2020-06-14","1.6993791690852"
"2020-06-15","1.6993791690852"
"2020-06-16","1.6993791690852"
"2020-06-17","1.6993791690852"
"2020-06-18","1.6993791690852"
"2020-06-19","1.6993791690852"
"2020-06-20","1.6993791690852"
"2020-06-21","1.6993791690852"
"2020-06-22","1.6993791690852"
"2020-06-23","1.6993791690852"
"2020-06-24","1.6993791690852"
"2020-06-25","1.6993791690852"
"2020-06-26","1.6993791690852"
"2020-06-27","1.6993791690852"
"2020-06-28","1.6993791690852"
"2020-06-29","1.6993791690852"
"2020-06-30","1.6993791690852"
"2020-07-01","1.6993791690852"
"2020-07-02","1.6993791690852"
"2020-07-03","1.6993791690852"
"2020-07-04","1.6993791690852"
"2020-07-05","1.6993791690852"
"2020-07-06","1.6993791690852"
"2020-07-07","1.6993791690852"
"2020-07-08","1.6993791690852"
"2020-07-09","1.6993791690852"
"2020-07-10","1.6993791690852"
"2020-07-11","1.6993791690852"
"2020-07-12","1.6993791690852"
"2020-07-13","1.6993791690852"
"2020-07-14","1.6993791690852"
"2020-07-15","1.6993791690852"
"2020-07-16","1.6993791690852"
"2020-07-17","1.6993791690852"
"2020-07-18","1.6993791690852"
"2020-07-19","1.6993791690852"
"2020-07-20","1.6993791690852"
"2020-07-21","1.6993791690852"
"2020-07-22","1.6993791690852"
"2020-07-23","1.6993791690852"
"2020-07-24","1.6993791690852"
"2020-07-25","1.6993791690852"
"2020-07-26","1.6993791690852"
"2020-07-27","1.6993791690852"
"2020-07-28","1.6993791690852"
"2020-07-29","1.6993791690852"
"2020-07-30","1.6993791690852"
"2020-07-31","1.6993791690852"
"2020-08-01","1.6993791690852"
"2020-08-02","1.6993791690852"
"2020-08-03","1.6993791690852"
"2020-08-04","1.6993791690852"
"2020-08-05","1.6993791690852"
"2020-08-06","1.6993791690852"
"2020-08-07","1.6993791690852"
"2020-08-08","1.6993791690852"
"2020-08-09","1.6993791690852"
"2020-08-10","1.6993791690852"
"2020-08-11","1.6993791690852"
"2020-08-12","1.6993791690852"
"2020-08-13","1.6993791690852"
"2020-08-14","1.6993791690852"
"2020-08-15","1.6993791690852"
"2020-08-16","1.6993791690852"
"2020-08-17","1.6993791690852"
"2020-08-18","1.6993791690852"
