"","Dates","No Change","10% Reduction of Beta","20% Reduction of Beta","30% Reduction of Beta","10% Increase of Gamma","20% Increase of Gamma","30% Increase of Gamma","10% Reduction(Beta),10% Increase(Gamma)","10% Reduction(Beta),20% Increase(Gamma)","20% Reduction(Beta),10% Increase(Gamma)","20% Reduction(Beta),20% Increase(Gamma)"
"403",2021-04-14,3494,227,13,1,225,13,1,14,1,1,0
"404",2021-04-15,3477,224,13,1,221,13,1,13,1,1,0
"405",2021-04-16,3460,220,13,1,218,13,1,13,1,1,0
"406",2021-04-17,3443,217,12,1,215,12,1,13,1,1,0
"407",2021-04-18,3426,214,12,1,212,12,1,12,1,1,0
"408",2021-04-19,3409,211,12,1,209,12,1,12,1,1,0
"409",2021-04-20,3393,208,12,1,206,12,1,12,1,1,0
"410",2021-04-21,3376,205,11,1,203,11,1,11,1,1,0
"411",2021-04-22,3360,202,11,1,200,11,1,11,1,1,0
"412",2021-04-23,3343,199,11,1,197,11,1,11,1,1,0
"413",2021-04-24,3327,197,11,1,194,10,1,11,1,1,0
"414",2021-04-25,3311,194,10,1,191,10,1,10,1,1,0
"415",2021-04-26,3294,191,10,0,188,10,1,10,1,1,0
"416",2021-04-27,3278,188,10,0,185,10,0,10,0,0,0
"417",2021-04-28,3262,186,10,0,183,9,0,10,0,0,0
"418",2021-04-29,3246,183,9,0,180,9,0,9,0,0,0
"419",2021-04-30,3230,180,9,0,177,9,0,9,0,0,0
"420",2021-05-01,3215,178,9,0,175,9,0,9,0,0,0
"421",2021-05-02,3199,175,9,0,172,9,0,9,0,0,0
"422",2021-05-03,3183,173,8,0,170,8,0,8,0,0,0
"423",2021-05-04,3168,170,8,0,167,8,0,8,0,0,0
"424",2021-05-05,3152,168,8,0,165,8,0,8,0,0,0
"425",2021-05-06,3137,166,8,0,162,8,0,8,0,0,0
"426",2021-05-07,3121,163,8,0,160,8,0,8,0,0,0
"427",2021-05-08,3106,161,7,0,158,7,0,7,0,0,0
"428",2021-05-09,3090,159,7,0,155,7,0,7,0,0,0
"429",2021-05-10,3075,156,7,0,153,7,0,7,0,0,0
"430",2021-05-11,3060,154,7,0,151,7,0,7,0,0,0
"431",2021-05-12,3045,152,7,0,149,7,0,7,0,0,0
"432",2021-05-13,3030,150,7,0,146,6,0,7,0,0,0
"433",2021-05-14,3015,148,6,0,144,6,0,6,0,0,0
"434",2021-05-15,3000,146,6,0,142,6,0,6,0,0,0
"435",2021-05-16,2986,144,6,0,140,6,0,6,0,0,0
"436",2021-05-17,2971,141,6,0,138,6,0,6,0,0,0
"437",2021-05-18,2956,139,6,0,136,6,0,6,0,0,0
"438",2021-05-19,2942,138,6,0,134,6,0,6,0,0,0
"439",2021-05-20,2927,136,6,0,132,5,0,6,0,0,0
"440",2021-05-21,2913,134,5,0,130,5,0,5,0,0,0
"441",2021-05-22,2898,132,5,0,128,5,0,5,0,0,0
"442",2021-05-23,2884,130,5,0,126,5,0,5,0,0,0
"443",2021-05-24,2870,128,5,0,124,5,0,5,0,0,0
"444",2021-05-25,2855,126,5,0,123,5,0,5,0,0,0
"445",2021-05-26,2841,124,5,0,121,5,0,5,0,0,0
"446",2021-05-27,2827,123,5,0,119,5,0,5,0,0,0
"447",2021-05-28,2813,121,5,0,117,4,0,5,0,0,0
"448",2021-05-29,2799,119,4,0,116,4,0,4,0,0,0
"449",2021-05-30,2785,117,4,0,114,4,0,4,0,0,0
"450",2021-05-31,2772,116,4,0,112,4,0,4,0,0,0
"451",2021-06-01,2758,114,4,0,111,4,0,4,0,0,0
"452",2021-06-02,2744,113,4,0,109,4,0,4,0,0,0
"453",2021-06-03,2730,111,4,0,107,4,0,4,0,0,0
"454",2021-06-04,2717,109,4,0,106,4,0,4,0,0,0
"455",2021-06-05,2703,108,4,0,104,4,0,4,0,0,0
"456",2021-06-06,2690,106,4,0,103,4,0,4,0,0,0
"457",2021-06-07,2677,105,4,0,101,3,0,4,0,0,0
"458",2021-06-08,2663,103,4,0,100,3,0,3,0,0,0
"459",2021-06-09,2650,102,3,0,98,3,0,3,0,0,0
"460",2021-06-10,2637,100,3,0,97,3,0,3,0,0,0
"461",2021-06-11,2624,99,3,0,95,3,0,3,0,0,0
"462",2021-06-12,2611,98,3,0,94,3,0,3,0,0,0
"463",2021-06-13,2598,96,3,0,93,3,0,3,0,0,0
"464",2021-06-14,2585,95,3,0,91,3,0,3,0,0,0
"465",2021-06-15,2572,93,3,0,90,3,0,3,0,0,0
"466",2021-06-16,2559,92,3,0,89,3,0,3,0,0,0
"467",2021-06-17,2546,91,3,0,87,3,0,3,0,0,0
"468",2021-06-18,2534,90,3,0,86,3,0,3,0,0,0
"469",2021-06-19,2521,88,3,0,85,3,0,3,0,0,0
"470",2021-06-20,2508,87,3,0,84,2,0,3,0,0,0
"471",2021-06-21,2496,86,3,0,82,2,0,3,0,0,0
"472",2021-06-22,2483,85,2,0,81,2,0,2,0,0,0
"473",2021-06-23,2471,83,2,0,80,2,0,2,0,0,0
"474",2021-06-24,2459,82,2,0,79,2,0,2,0,0,0
"475",2021-06-25,2446,81,2,0,78,2,0,2,0,0,0
"476",2021-06-26,2434,80,2,0,76,2,0,2,0,0,0
"477",2021-06-27,2422,79,2,0,75,2,0,2,0,0,0
"478",2021-06-28,2410,78,2,0,74,2,0,2,0,0,0
"479",2021-06-29,2398,76,2,0,73,2,0,2,0,0,0
"480",2021-06-30,2386,75,2,0,72,2,0,2,0,0,0
"481",2021-07-01,2374,74,2,0,71,2,0,2,0,0,0
"482",2021-07-02,2362,73,2,0,70,2,0,2,0,0,0
"483",2021-07-03,2350,72,2,0,69,2,0,2,0,0,0
"484",2021-07-04,2338,71,2,0,68,2,0,2,0,0,0
"485",2021-07-05,2326,70,2,0,67,2,0,2,0,0,0
"486",2021-07-06,2315,69,2,0,66,2,0,2,0,0,0
"487",2021-07-07,2303,68,2,0,65,2,0,2,0,0,0
"488",2021-07-08,2292,67,2,0,64,2,0,2,0,0,0
"489",2021-07-09,2280,66,2,0,63,2,0,2,0,0,0
"490",2021-07-10,2269,65,2,0,62,2,0,2,0,0,0
"491",2021-07-11,2257,64,2,0,61,1,0,2,0,0,0
"492",2021-07-12,2246,63,2,0,60,1,0,1,0,0,0
"493",2021-07-13,2234,63,1,0,59,1,0,1,0,0,0
"494",2021-07-14,2223,62,1,0,59,1,0,1,0,0,0
"495",2021-07-15,2212,61,1,0,58,1,0,1,0,0,0
"496",2021-07-16,2201,60,1,0,57,1,0,1,0,0,0
"497",2021-07-17,2190,59,1,0,56,1,0,1,0,0,0
"498",2021-07-18,2179,58,1,0,55,1,0,1,0,0,0
"499",2021-07-19,2168,57,1,0,54,1,0,1,0,0,0
"500",2021-07-20,2157,57,1,0,54,1,0,1,0,0,0
