"","Dates","No Change","10% Reduction of Beta","20% Reduction of Beta","30% Reduction of Beta","10% Increase of Gamma","20% Increase of Gamma","30% Increase of Gamma","10% Reduction(Beta),10% Increase(Gamma)","10% Reduction(Beta),20% Increase(Gamma)","20% Reduction(Beta),10% Increase(Gamma)","20% Reduction(Beta),20% Increase(Gamma)"
"12",2020-03-19,2,2,2,2,2,2,2,2,2,2,2
"13",2020-03-20,2,2,2,2,2,2,2,2,2,2,2
"14",2020-03-21,2,2,2,2,2,2,2,2,2,2,2
"15",2020-03-22,3,3,3,3,3,3,3,3,3,3,3
"16",2020-03-23,3,3,3,3,3,3,3,3,3,3,3
"17",2020-03-24,4,4,4,4,4,4,4,4,4,4,4
"18",2020-03-25,4,4,4,4,4,4,4,4,4,4,4
"19",2020-03-26,4,4,4,4,4,4,4,4,4,4,4
"20",2020-03-27,5,5,5,5,5,5,5,5,5,5,5
"21",2020-03-28,5,5,5,5,5,5,5,5,5,5,5
"22",2020-03-29,6,6,6,6,6,6,6,6,6,6,6
"23",2020-03-30,7,7,7,7,7,7,7,7,7,7,7
"24",2020-03-31,8,8,8,8,8,8,8,8,8,8,8
"25",2020-04-01,10,10,10,10,10,10,10,10,10,10,10
"26",2020-04-02,12,12,12,12,12,12,12,12,12,12,12
"27",2020-04-03,15,15,15,15,15,15,15,15,15,15,15
"28",2020-04-04,18,18,18,18,18,18,18,18,18,18,18
"29",2020-04-05,23,23,23,23,23,23,23,23,23,23,23
"30",2020-04-06,29,29,29,29,29,29,29,29,29,29,29
"31",2020-04-07,36,36,36,36,36,36,36,36,36,36,36
"32",2020-04-08,47,47,47,47,47,47,47,47,47,47,47
"33",2020-04-09,61,61,61,61,61,61,61,61,61,61,61
"34",2020-04-10,75,75,75,75,75,75,75,75,75,75,75
"35",2020-04-11,90,90,90,90,90,90,90,90,90,90,90
"36",2020-04-12,113,113,113,113,113,113,113,113,113,113,113
"37",2020-04-13,138,138,138,138,138,138,138,138,138,138,138
"38",2020-04-14,166,166,166,166,166,166,166,166,166,166,166
"39",2020-04-15,185,185,185,185,185,185,185,185,185,185,185
"40",2020-04-16,209,209,209,209,209,209,209,209,209,209,209
"41",2020-04-17,235,235,235,235,235,235,235,235,235,235,235
"42",2020-04-18,254,254,254,254,254,254,254,254,254,254,254
"43",2020-04-19,289,289,289,289,289,289,289,289,289,289,289
"44",2020-04-20,327,327,327,327,327,327,327,327,327,327,327
"45",2020-04-21,345,345,345,345,345,345,345,345,345,345,345
"46",2020-04-22,388,388,388,388,388,388,388,388,388,388,388
"47",2020-04-23,416,416,416,416,416,416,416,416,416,416,416
"48",2020-04-24,437,437,437,437,437,437,437,437,437,437,437
"49",2020-04-25,462,462,462,462,462,462,462,462,462,462,462
"50",2020-04-26,488,488,488,488,488,488,488,488,488,488,488
"51",2020-04-27,516,516,516,516,516,516,516,516,516,516,516
"52",2020-04-28,550,550,550,550,550,550,550,550,550,550,550
"53",2020-04-29,580,580,580,580,580,580,580,580,580,580,580
"54",2020-04-30,604,604,604,604,604,604,604,604,604,604,604
"55",2020-05-01,636,636,636,636,636,636,636,636,636,636,636
"56",2020-05-02,665,665,665,665,665,665,665,665,665,665,665
"57",2020-05-03,704,704,704,704,704,704,704,704,704,704,704
"58",2020-05-04,741,741,741,741,741,741,741,741,741,741,741
"59",2020-05-05,776,776,776,776,776,776,776,776,776,776,776
"60",2020-05-06,810,810,810,810,810,810,810,810,810,810,810
"61",2020-05-07,859,859,859,859,859,859,859,859,859,859,859
"62",2020-05-08,856,856,856,856,856,856,856,856,856,856,856
"63",2020-05-09,903,903,903,903,903,903,903,903,903,903,903
"64",2020-05-10,938,938,938,938,938,938,938,938,938,938,938
"65",2020-05-11,981,981,981,981,981,981,981,981,981,981,981
"66",2020-05-12,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034
"67",2020-05-13,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117
"68",2020-05-14,1226,1226,1226,1226,1226,1226,1226,1226,1226,1226,1226
"69",2020-05-15,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212
"70",2020-05-16,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272
"71",2020-05-17,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335
"72",2020-05-18,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406
"73",2020-05-19,1448,1448,1448,1448,1448,1448,1448,1448,1448,1448,1448
"74",2020-05-20,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547
"75",2020-05-21,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565
"76",2020-05-22,1646,1646,1646,1646,1646,1646,1646,1646,1646,1646,1646
"77",2020-05-23,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740
"78",2020-05-24,1826,1826,1826,1826,1826,1826,1826,1826,1826,1826,1826
"79",2020-05-25,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865
"80",2020-05-26,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903
"81",2020-05-27,2061,2061,2061,2061,2061,2061,2061,2061,2061,2061,2061
"82",2020-05-28,2148,2148,2148,2148,2148,2148,2148,2148,2148,2148,2148
"83",2020-05-29,2191,2191,2191,2191,2191,2191,2191,2191,2191,2191,2191
"84",2020-05-30,2227,2227,2227,2227,2227,2227,2227,2227,2227,2227,2227
"85",2020-05-31,2303,2303,2303,2303,2303,2303,2303,2303,2303,2303,2303
"86",2020-06-01,2464,2464,2464,2464,2464,2464,2464,2464,2464,2464,2464
"87",2020-06-02,2556,2556,2556,2556,2556,2556,2556,2556,2556,2556,2556
"88",2020-06-03,2561,2561,2561,2561,2561,2561,2561,2561,2561,2561,2561
"89",2020-06-04,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666
"90",2020-06-05,2677,2677,2677,2677,2677,2677,2677,2677,2677,2677,2677
"91",2020-06-06,2763,2763,2763,2763,2763,2763,2763,2763,2763,2763,2763
"92",2020-06-07,2895,2895,2895,2895,2895,2895,2895,2895,2895,2895,2895
"93",2020-06-08,2874,2874,2874,2874,2874,2874,2874,2874,2874,2874,2874
"94",2020-06-09,3080,3080,3080,3080,3080,3080,3080,3080,3080,3080,3080
"95",2020-06-10,3131,3131,3131,3131,3131,3131,3131,3131,3131,3131,3131
"96",2020-06-11,3114,3114,3114,3114,3114,3114,3114,3114,3114,3114,3114
"97",2020-06-12,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150
"98",2020-06-13,3231,3231,3231,3231,3231,3231,3231,3231,3231,3231,3231
"99",2020-06-14,3312,3312,3312,3312,3312,3312,3312,3312,3312,3312,3312
"100",2020-06-15,3491,3491,3491,3491,3491,3491,3491,3491,3491,3491,3491
"101",2020-06-16,3525,3525,3525,3525,3525,3525,3525,3525,3525,3525,3525
"102",2020-06-17,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549
"103",2020-06-18,3511,3511,3511,3511,3511,3511,3511,3511,3511,3511,3511
"104",2020-06-19,3460,3460,3460,3460,3460,3460,3460,3460,3460,3460,3460
"105",2020-06-20,3477,3477,3477,3477,3477,3477,3477,3477,3477,3477,3477
"106",2020-06-21,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
"107",2020-06-22,3578,3578,3578,3578,3578,3578,3578,3578,3578,3578,3578
"108",2020-06-23,3569,3569,3569,3569,3569,3569,3569,3569,3569,3569,3569
"109",2020-06-24,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450
"110",2020-06-25,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501
"111",2020-06-26,3520,3520,3520,3520,3520,3520,3520,3520,3520,3520,3520
"112",2020-06-27,3419,3419,3419,3419,3419,3419,3419,3419,3419,3419,3419
