"date","rt"
"2020-03-08","2.6082861222497"
"2020-03-09","2.66733091034128"
"2020-03-10","2.72734911647082"
"2020-03-11","2.81603933070832"
"2020-03-12","2.90113214354157"
"2020-03-13","3.03273487493658"
"2020-03-14","3.10065919930798"
"2020-03-15","3.12370637106105"
"2020-03-16","3.08579347864412"
"2020-03-17","3.02339472554156"
"2020-03-18","3.04007295236186"
"2020-03-19","2.97127991933776"
"2020-03-20","2.9363054497496"
"2020-03-21","2.83866064438727"
"2020-03-22","2.85919236854811"
"2020-03-23","2.66838730162546"
"2020-03-24","2.67715725069844"
"2020-03-25","2.77061562568588"
"2020-03-26","2.83143363313533"
"2020-03-27","2.92361839424285"
"2020-03-28","2.87211466990549"
"2020-03-29","2.958128289523"
"2020-03-30","3.16130438676607"
"2020-03-31","3.23632362072319"
"2020-04-01","3.34899821930365"
"2020-04-02","3.50790717212537"
"2020-04-03","3.72375576345404"
"2020-04-04","3.89749836908824"
"2020-04-05","3.9809665263077"
"2020-04-06","4.0443419323029"
"2020-04-07","4.04144740937424"
"2020-04-08","4.11362846601906"
"2020-04-09","4.13892593510603"
"2020-04-10","4.06277208910462"
"2020-04-11","4.00651656740547"
"2020-04-12","3.88020942136934"
"2020-04-13","3.63000256997009"
"2020-04-14","3.53516055388621"
"2020-04-15","3.36317250888187"
"2020-04-16","3.23954227645206"
"2020-04-17","3.04524053774061"
"2020-04-18","2.92641533838721"
"2020-04-19","2.82762787140746"
"2020-04-20","2.72650057117281"
"2020-04-21","2.54709436084946"
"2020-04-22","2.3880154704381"
"2020-04-23","2.32242323042666"
"2020-04-24","2.20519709116915"
"2020-04-25","2.10316346473366"
"2020-04-26","2.05633442303179"
"2020-04-27","1.96391151483497"
"2020-04-28","1.94966855287661"
"2020-04-29","1.86695995169784"
"2020-04-30","1.87637376315652"
"2020-05-01","1.86383633894365"
"2020-05-02","1.83217846272335"
"2020-05-03","1.83178536093701"
"2020-05-04","1.80922814865055"
"2020-05-05","1.80078312031344"
"2020-05-06","1.75484264878532"
"2020-05-07","1.71831678227637"
"2020-05-08","1.6682658746961"
"2020-05-09","1.66966617351528"
"2020-05-10","1.67248068380765"
"2020-05-11","1.63056476868196"
"2020-05-12","1.61043694659204"
"2020-05-13","1.63949308193815"
"2020-05-14","1.61892553186971"
"2020-05-15","1.62165850110949"
"2020-05-16","1.60840884982181"
"2020-05-17","1.70023519738709"
"2020-05-18","1.62183168074481"
"2020-05-19","1.66199626209861"
"2020-05-20","1.64636040630262"
"2020-05-21","1.69732113771171"
"2020-05-22","1.67943434567764"
"2020-05-23","1.69742124955148"
"2020-05-24","1.64429156404021"
"2020-05-25","1.64429156404021"
"2020-05-26","1.64429156404021"
"2020-05-27","1.64429156404021"
"2020-05-28","1.64429156404021"
"2020-05-29","1.64429156404021"
"2020-05-30","1.64429156404021"
"2020-05-31","1.64429156404021"
"2020-06-01","1.64429156404021"
"2020-06-02","1.64429156404021"
"2020-06-03","1.64429156404021"
"2020-06-04","1.64429156404021"
"2020-06-05","1.64429156404021"
"2020-06-06","1.64429156404021"
"2020-06-07","1.64429156404021"
"2020-06-08","1.64429156404021"
"2020-06-09","1.64429156404021"
"2020-06-10","1.64429156404021"
"2020-06-11","1.64429156404021"
"2020-06-12","1.64429156404021"
"2020-06-13","1.64429156404021"
"2020-06-14","1.64429156404021"
"2020-06-15","1.64429156404021"
"2020-06-16","1.64429156404021"
"2020-06-17","1.64429156404021"
"2020-06-18","1.64429156404021"
"2020-06-19","1.64429156404021"
"2020-06-20","1.64429156404021"
"2020-06-21","1.64429156404021"
"2020-06-22","1.64429156404021"
"2020-06-23","1.64429156404021"
"2020-06-24","1.64429156404021"
"2020-06-25","1.64429156404021"
"2020-06-26","1.64429156404021"
"2020-06-27","1.64429156404021"
"2020-06-28","1.64429156404021"
"2020-06-29","1.64429156404021"
"2020-06-30","1.64429156404021"
"2020-07-01","1.64429156404021"
"2020-07-02","1.64429156404021"
"2020-07-03","1.64429156404021"
"2020-07-04","1.64429156404021"
"2020-07-05","1.64429156404021"
"2020-07-06","1.64429156404021"
"2020-07-07","1.64429156404021"
"2020-07-08","1.64429156404021"
"2020-07-09","1.64429156404021"
"2020-07-10","1.64429156404021"
"2020-07-11","1.64429156404021"
"2020-07-12","1.64429156404021"
"2020-07-13","1.64429156404021"
"2020-07-14","1.64429156404021"
"2020-07-15","1.64429156404021"
"2020-07-16","1.64429156404021"
"2020-07-17","1.64429156404021"
"2020-07-18","1.64429156404021"
"2020-07-19","1.64429156404021"
"2020-07-20","1.64429156404021"
"2020-07-21","1.64429156404021"
"2020-07-22","1.64429156404021"
"2020-07-23","1.64429156404021"
"2020-07-24","1.64429156404021"
"2020-07-25","1.64429156404021"
"2020-07-26","1.64429156404021"
"2020-07-27","1.64429156404021"
"2020-07-28","1.64429156404021"
"2020-07-29","1.64429156404021"
"2020-07-30","1.64429156404021"
"2020-07-31","1.64429156404021"
"2020-08-01","1.64429156404021"
"2020-08-02","1.64429156404021"
"2020-08-03","1.64429156404021"
"2020-08-04","1.64429156404021"
"2020-08-05","1.64429156404021"
"2020-08-06","1.64429156404021"
"2020-08-07","1.64429156404021"
"2020-08-08","1.64429156404021"
"2020-08-09","1.64429156404021"
"2020-08-10","1.64429156404021"
"2020-08-11","1.64429156404021"
"2020-08-12","1.64429156404021"
"2020-08-13","1.64429156404021"
"2020-08-14","1.64429156404021"
"2020-08-15","1.64429156404021"
"2020-08-16","1.64429156404021"
"2020-08-17","1.64429156404021"
"2020-08-18","1.64429156404021"
